pair_index,timestamp,match_status,time_difference_minutes,distance_km,variable,era5_value,open-meteo_value,absolute_difference,percent_difference,agreement_flag
16785,2025-11-30T09:00:00Z,MATCHED,0.0,1.808,temperature,26.615,25.4,1.215,4.565,SOURCE_AGREEMENT_HIGH
16785,2025-11-30T09:00:00Z,MATCHED,0.0,1.808,pressure,1013.536,969.5,44.036,4.345,SOURCE_AGREEMENT_HIGH
16785,2025-11-30T09:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16785,2025-11-30T09:00:00Z,MATCHED,0.0,1.808,wind_speed,3.037,2.58,0.457,15.048,SOURCE_DISAGREEMENT
16786,2025-11-30T10:00:00Z,MATCHED,0.0,1.808,temperature,23.638,25.1,1.462,5.825,SOURCE_AGREEMENT_MEDIUM
16786,2025-11-30T10:00:00Z,MATCHED,0.0,1.808,pressure,1013.794,969.2,44.594,4.399,SOURCE_AGREEMENT_HIGH
16786,2025-11-30T10:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16786,2025-11-30T10:00:00Z,MATCHED,0.0,1.808,wind_speed,2.77,2.59,0.18,6.498,SOURCE_AGREEMENT_MEDIUM
16787,2025-11-30T11:00:00Z,MATCHED,0.0,1.808,temperature,23.468,23.8,0.332,1.395,SOURCE_AGREEMENT_HIGH
16787,2025-11-30T11:00:00Z,MATCHED,0.0,1.808,pressure,1013.441,969.1,44.341,4.375,SOURCE_AGREEMENT_HIGH
16787,2025-11-30T11:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16787,2025-11-30T11:00:00Z,MATCHED,0.0,1.808,wind_speed,2.246,1.77,0.476,21.193,SOURCE_DISAGREEMENT
16788,2025-11-30T12:00:00Z,MATCHED,0.0,1.808,temperature,22.73,20.8,1.93,8.491,SOURCE_AGREEMENT_MEDIUM
16788,2025-11-30T12:00:00Z,MATCHED,0.0,1.808,pressure,1013.884,969.0,44.884,4.427,SOURCE_AGREEMENT_HIGH
16788,2025-11-30T12:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16788,2025-11-30T12:00:00Z,MATCHED,0.0,1.808,wind_speed,2.283,1.49,0.793,34.735,SOURCE_DISAGREEMENT
16789,2025-11-30T13:00:00Z,MATCHED,0.0,1.808,temperature,22.284,19.5,2.784,12.493,SOURCE_AGREEMENT_MEDIUM
16789,2025-11-30T13:00:00Z,MATCHED,0.0,1.808,pressure,1014.741,969.5,45.241,4.458,SOURCE_AGREEMENT_HIGH
